n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
8,0.8,1.0,0.25,5,5,False,0.005,0.0,80,1.0335771077176397,0.9930683887022956,1.016094287880401,0.990977879978154
8,0.8,1.0,0.25,5,5,False,0.005,0.005,80,1.0664944903761513,1.0300081706091142,1.0223109726638082,0.9852870617051396
8,1.0,1.0,0.15,5,5,False,0.0,0.0,80,0.9372020888466815,0.989225998530196,0.9317765852972444,0.9433104157444464
8,1.0,1.0,0.15,5,5,False,0.0,0.005,80,0.983159756082196,0.9869189856989268,1.0089724385374197,0.9936211611451816
8,1.0,1.0,0.15,5,5,False,0.005,0.0,80,1.0228353782873292,0.976457336315822,1.0108313004168097,1.0127303636334672
8,1.0,1.0,0.15,5,5,False,0.005,0.005,80,1.0259860819441982,1.001770852852767,0.9897436422722978,0.9766479007235273
8,1.0,1.0,0.2,5,5,False,0.0,0.0,80,0.9505484479380224,0.9957735650932138,0.9720569073589712,0.941622325119974
8,1.0,1.0,0.2,5,5,False,0.0,0.005,80,0.9798562906645288,0.9926872263260732,0.968529249332908,0.971346374019732
8,1.0,1.0,0.2,5,5,False,0.005,0.0,80,0.9559218073729252,0.9979205502851108,0.9653817159739896,0.9876298359634108
8,1.0,1.0,0.2,5,5,False,0.005,0.005,80,1.0532022535545618,1.0106259008363172,1.0165752344215049,0.965594250501067
8,1.0,1.0,0.25,5,5,False,0.0,0.0,80,0.9605801447526094,0.970328591289668,0.99710542719127,0.9822590911543868
8,1.0,1.0,0.25,5,5,False,0.0,0.005,80,0.9649818045869905,0.9899615936187348,0.9948666824004732,1.0137701296099482
8,1.0,1.0,0.25,5,5,False,0.005,0.0,80,0.9914799984610052,0.9841334113404128,1.003241757944073,1.0030653625104562
8,1.0,1.0,0.25,5,5,False,0.005,0.005,80,1.0478470426961106,1.0038251437681822,1.0101541947790769,0.9695720774668434
