source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
366,tent_mu1.691_s006,chaotic_map,forecast,3006,800,2,0.9645860324398472,0.6404991661878823,0.15578715772125337,0.3240868662519649,0.8087988747185938,-0.4847120084666289,-0.4847120084666289,60,6,5,5,0
367,tent_mu1.879_s007,chaotic_map,forecast,3007,800,1,0.7517031583661261,0.4336044899094817,0.5289426298334096,0.3180986684566444,0.22276052853271655,0.09533813992392787,0.09533813992392787,60,6,5,5,0
368,tent_mu1.607_s008,chaotic_map,forecast,3008,800,2,0.9007617059863204,0.4861743323010202,0.3106855811290902,0.41458737368530024,0.5900761248572302,-0.17548875117192997,-0.17548875117192997,60,6,5,5,0
369,tent_mu1.820_s009,chaotic_map,forecast,3009,800,2,0.9843231359990048,0.6454733805352532,0.211930128973564,0.3388497554637516,0.7723930070254408,-0.43354325156168916,-0.43354325156168916,60,6,5,5,0
370,tent_mu1.914_s010,chaotic_map,forecast,3010,800,1,0.9087311291662028,0.45673496562138,0.5602799926585026,0.4519961635448228,0.3484511365077002,0.1035450270371226,0.1035450270371226,60,6,5,5,0
371,tent_mu1.800_s011,chaotic_map,forecast,3011,800,2,1.003183022872339,0.5970415082220707,0.19254901267673818,0.4061415146502684,0.8106340101956009,-0.4044924955453325,-0.4044924955453325,60,6,5,5,0
372,tent_mu1.672_s012,chaotic_map,forecast,3012,800,2,0.926862671275599,0.6085297120948309,0.19993574304560988,0.3183329591807681,0.7269269282299891,-0.40859396904922096,-0.40859396904922096,60,6,5,5,0
373,tent_mu1.619_s013,chaotic_map,forecast,3013,800,2,0.9049986518863274,0.5494464845489782,0.2904753780880978,0.3555521673373493,0.6145232737982296,-0.25897110646088034,-0.25897110646088034,60,6,5,5,0
374,tent_mu1.774_s014,chaotic_map,forecast,3014,800,2,0.950857299857728,0.585688884778477,0.15596261468576417,0.365168415079251,0.7948946851719638,-0.42972627009271286,-0.42972627009271286,60,6,5,5,0
375,tent_mu1.732_s015,chaotic_map,forecast,3015,800,2,0.9421852941069384,0.5302536131651762,0.14123270865946116,0.41193168094176225,0.8009525854474773,-0.389020904505715,-0.389020904505715,60,6,5,5,0
