dataset_id,name,family,source,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_spin,qrc_advantage,actual_usefulness_label,predicted_qrc_advantage,predicted_usefulness_label,predicted_prob_qrc_useful,property_pc1,property_pc2,abs_prediction_error,prediction_correct_label
logistic_r3.8279_s004:1404:800,logistic_r3.8279_s004,chaotic_map,synthetic,forecast,1404,800,2,0.0942128736494675,1.0358427145873563,-0.9416298409378888,baseline_preferred,-0.728798192891957,baseline_preferred,0.018379832651593122,-0.217836379286703,0.45980698400190556,0.2128316480459318,True
logistic_r3.9325_s005:1405:800,logistic_r3.9325_s005,chaotic_map,synthetic,forecast,1405,800,1,0.0133614910283778,0.8217489119152752,-0.8083874208868974,baseline_preferred,-0.8174256853654118,baseline_preferred,0.0027739557671144183,1.494660818559308,0.778137190144279,0.009038264478514413,True
logistic_r3.8640_s006:1406:800,logistic_r3.8640_s006,chaotic_map,synthetic,forecast,1406,800,2,0.0870043060622703,0.934470739954966,-0.8474664338926955,baseline_preferred,-0.7922540469401952,baseline_preferred,0.0017305916669706394,0.31793133018966774,0.5390793006403427,0.0552123869525003,True
logistic_r3.6165_s007:1407:800,logistic_r3.6165_s007,chaotic_map,synthetic,forecast,1407,800,186,0.3528364579393803,0.4909437053560406,-0.1381072474166602,baseline_preferred,-0.23664204515657153,baseline_preferred,0.0016240950927162894,-1.2405573020744116,3.921341288095302,0.09853479773991133,True
logistic_r3.6226_s008:1408:800,logistic_r3.6226_s008,chaotic_map,synthetic,forecast,1408,800,186,0.3850934206029291,0.5275248512663974,-0.1424314306634682,baseline_preferred,-0.23664204515657153,baseline_preferred,0.0016240950927162894,-1.2145723809940956,3.966332599346115,0.09421061449310333,True
logistic_r3.6491_s009:1409:800,logistic_r3.6491_s009,chaotic_map,synthetic,forecast,1409,800,186,0.4440934342321289,0.6813237373277069,-0.2372303030955779,baseline_preferred,-0.13930814073523756,baseline_preferred,0.001172114994174436,-1.541522094757641,3.7431011967745436,0.09792216236034035,True
logistic_r3.9420_s010:1410:800,logistic_r3.9420_s010,chaotic_map,synthetic,forecast,1410,800,1,0.0171123662784113,0.8552103525168638,-0.8380979862384524,baseline_preferred,-0.860054490307967,baseline_preferred,0.0019640915224426645,1.5225973648608409,0.5996306431511743,0.02195650406951455,True
logistic_r3.7705_s011:1411:800,logistic_r3.7705_s011,chaotic_map,synthetic,forecast,1411,800,3,0.1982827454295725,0.9625827054463252,-0.7642999600167527,baseline_preferred,-0.8535740486627247,baseline_preferred,0.0014833636791217136,0.7019268853745225,0.9835628168348959,0.08927408864597197,True
logistic_r3.6714_s012:1412:800,logistic_r3.6714_s012,chaotic_map,synthetic,forecast,1412,800,186,0.5349181698366274,0.6533159988427956,-0.1183978290061681,baseline_preferred,-0.15832798204419213,baseline_preferred,0.002025046909641122,-0.7164082251012415,3.52571623216433,0.039930153038024024,True
logistic_r3.7042_s013:1413:800,logistic_r3.7042_s013,chaotic_map,synthetic,forecast,1413,800,4,0.4794158283858979,0.9352806179375142,-0.4558647895516162,baseline_preferred,-0.5446212093323034,baseline_preferred,0.002025046909641122,0.7477713147530938,1.307378449864222,0.08875641978068721,True
logistic_r3.8803_s014:1414:800,logistic_r3.8803_s014,chaotic_map,synthetic,forecast,1414,800,2,0.0918992302291372,0.9635284355787416,-0.8716292053496044,baseline_preferred,-0.8102516850963153,baseline_preferred,0.0017305916669706394,0.9304403846942549,0.6701387488139245,0.06137752025328913,True
logistic_r3.8526_s015:1415:800,logistic_r3.8526_s015,chaotic_map,synthetic,forecast,1415,800,148,0.04107892327208,0.7021844286428842,-0.6611055053708041,baseline_preferred,-0.7310074347605794,baseline_preferred,0.0020108393270017295,-2.275671302841914,3.5792340850174273,0.06990192938977524,True
logistic_r3.7406_s016:1416:800,logistic_r3.7406_s016,chaotic_map,synthetic,forecast,1416,800,2,5.0652421386356555e-12,0.9087997336638248,-0.9087997336587595,baseline_preferred,-0.9598840296806094,baseline_preferred,0.0010722751422928714,-0.9225613669298661,4.728650635087919,0.05108429602184983,True
logistic_r3.9014_s017:1417:800,logistic_r3.9014_s017,chaotic_map,synthetic,forecast,1417,800,2,0.1227880167427408,0.9577595049676234,-0.8349714882248825,baseline_preferred,-0.8174256853654118,baseline_preferred,0.0025491637539696386,1.2461414966676778,0.7290102253450479,0.017545802859470716,True
logistic_r3.6964_s018:1418:800,logistic_r3.6964_s018,chaotic_map,synthetic,forecast,1418,800,7,0.8357412783047647,0.9649989531863208,-0.1292576748815561,baseline_preferred,-0.31730833643160516,baseline_preferred,0.002246264481909322,0.6213148975030954,1.3816789763790298,0.18805066155004907,True
logistic_r3.8078_s019:1419:800,logistic_r3.8078_s019,chaotic_map,synthetic,forecast,1419,800,2,0.053058305183501,0.9072372604972476,-0.8541789553137467,baseline_preferred,-0.8076713599755071,baseline_preferred,0.002246264481909322,0.7962895286281647,0.9578006183973143,0.04650759533823956,True
henon_a1.124_s000:1500:800,henon_a1.124_s000,chaotic_map,synthetic,forecast,1500,800,186,0.5478291656921819,0.5871094277644225,-0.0392802620722406,near_tie,-0.13575583210577666,baseline_preferred,0.0011887372964274922,-1.0588904699737907,3.6348648488315938,0.09647557003353606,False
henon_a1.224_s001:1501:800,henon_a1.224_s001,chaotic_map,synthetic,forecast,1501,800,2,0.0415402893362391,0.819824669209528,-0.7782843798732888,baseline_preferred,-0.655089910133432,baseline_preferred,0.0011209652609910693,0.8905340079701843,1.1396668150851181,0.12319446973985682,True
henon_a1.010_s002:1502:800,henon_a1.010_s002,chaotic_map,synthetic,forecast,1502,800,186,2.1622938168276133e-12,0.5415080964870302,-0.541508096484868,baseline_preferred,-0.44537806948009534,baseline_preferred,0.0016240950927162894,-3.0478120523562553,7.1094174855139345,0.09613002700477263,True
henon_a1.194_s003:1503:800,henon_a1.194_s003,chaotic_map,synthetic,forecast,1503,800,7,0.7977643001310164,0.902437606302082,-0.1046733061710655,baseline_preferred,-0.2644430478022907,baseline_preferred,0.0024444114930139097,0.9927949168059379,1.5021914710761866,0.1597697416312252,True
henon_a1.399_s004:1504:800,henon_a1.399_s004,chaotic_map,synthetic,forecast,1504,800,1,0.0254112176026892,0.825678419800094,-0.8002672021974048,baseline_preferred,-0.7484524768167803,baseline_preferred,0.002137400873441396,1.6426034254843438,1.1388287920505014,0.05181472538062448,True
henon_a1.252_s005:1505:800,henon_a1.252_s005,chaotic_map,synthetic,forecast,1505,800,2,2.1927227090816202e-11,0.9721911649706764,-0.972191164948749,baseline_preferred,-0.866792759751481,baseline_preferred,0.0010722751422928714,-0.7744096162826499,4.7332051158232735,0.10539840519726806,True
henon_a1.032_s006:1506:800,henon_a1.032_s006,chaotic_map,synthetic,forecast,1506,800,186,4.5329789005841424e-10,0.5815376977247732,-0.5815376972714753,baseline_preferred,-0.4366495517151533,baseline_preferred,0.0016240950927162894,-3.017130358757683,7.107708915109565,0.144888145556322,True
henon_a1.339_s007:1507:800,henon_a1.339_s007,chaotic_map,synthetic,forecast,1507,800,2,0.102278591097143,0.9714830485803096,-0.8692044574831667,baseline_preferred,-0.7635672136650283,baseline_preferred,0.0027739557671144183,1.2837368884183407,1.1302397892882736,0.10563724381813833,True
henon_a1.079_s008:1508:800,henon_a1.079_s008,chaotic_map,synthetic,forecast,1508,800,186,0.1626517125622357,0.5949010318330389,-0.4322493192708031,baseline_preferred,-0.3062512049480568,baseline_preferred,0.0016931027778391576,-2.1159898662526437,4.30267386364762,0.12599811432274632,True
